NAME
"Naidenoff, Mr. Penko"
"Haas, Miss. Aloisia"
"Mineff, Mr. Ivan"
"Hanna, Mr. Mansour"
"Johnson, Mr. William Cahoone Jr"
"Williams, Mr. Howard Hugh ""Harry"""
"Hendekovic, Mr. Ignjac"
"Dennis, Mr. Samuel"
"Danoff, Mr. Yoto"
"Sage, Mr. George John Jr"
"Nysveen, Mr. Johan Hansen"
"Vander Planke, Mr. Leo Edmondus"
"Denkoff, Mr. Mitto"
"Dimic, Mr. Jovan"
"Odahl, Mr. Nils Martin"
"Elias, Mr. Tannous"
"Arnold-Franchi, Mr. Josef"
"Yousif, Mr. Wazli"
"Vanden Steen, Mr. Leo Peter"
"Skoog, Mr. Wilhelm"
"Barbara, Mrs. (Catherine David)"
"Asim, Mr. Adola"
"O'Brien, Mr. Thomas"
"Adahl, Mr. Mauritz Nils Martin"
"Wiklund, Mr. Jakob Alfred"
"Beavan, Mr. William Thomas"
"Palsson, Miss. Stina Viola"
"Betros, Mr. Tannous"
"Gustafsson, Mr. Karl Gideon"
"Tikkanen, Mr. Juho"
"Plotcharsky, Mr. Vasil"
"Goodwin, Master. Sidney Leonard"
"Sadlier, Mr. Matthew"
"Gustafsson, Mr. Johan Birger"
"Johansson, Mr. Erik"
"Olsson, Miss. Elina"
"Adams, Mr. John"
"Jussila, Miss. Mari Aina"
"Hakkarainen, Mr. Pekka Pietari"
"Oreskovic, Miss. Marija"
"Widegren, Mr. Carl/Charles Peter"
"Birkeland, Mr. Hans Martin Monsen"
"Lefebre, Miss. Ida"
"Sdycoff, Mr. Todor"
"Hart, Mr. Henry"
"Meek, Mrs. Thomas (Annie Louise Rowley)"
"Van Impe, Miss. Catharina"
"Gheorgheff, Mr. Stanio"
"Charters, Mr. David"
"Zimmerman, Mr. Leo"
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)"
"Rosblom, Mr. Viktor Richard"
"Wiseman, Mr. Phillippe"
"Flynn, Mr. James"
"Kallio, Mr. Nikolai Erland"
"Ford, Miss. Doolina Margaret ""Daisy"""
"Hampe, Mr. Leon"
"Petterson, Mr. Johan Emil"
"Hagland, Mr. Ingvald Olai Olsen"
"Peduzzi, Mr. Joseph"
"O'Connor, Mr. Maurice"
"Morley, Mr. William"
"Maisner, Mr. Simon"
"Goncalves, Mr. Manuel Estanslas"
"Scanlan, Mr. James"
"Keefe, Mr. Arthur"
"Cacic, Mr. Luka"
"Strandberg, Miss. Ida Sofia"
"Braund, Mr. Lewis Richard"
"Karlsson, Mr. Nils August"
"Goodwin, Master. Harold Victor"
"Rouse, Mr. Richard Henry"
"Lefebre, Miss. Jeannie"
"Somerton, Mr. Francis William"
"Hagland, Mr. Konrad Mathias Reiersen"
"Windelov, Mr. Einar"
"Stanley, Mr. Edward Roland"
"Yousseff, Mr. Gerious"
"Shellard, Mr. Frederick William"
"Svensson, Mr. Olof"
"Calic, Mr. Petar"
"Canavan, Miss. Mary"
"O'Sullivan, Miss. Bridget Mary"
"Laitinen, Miss. Kristina Sofia"
"Olsen, Mr. Henry Margido"
"Webber, Mr. James"
"Coleff, Mr. Satio"
"Ryan, Mr. Patrick"
"Pavlovic, Mr. Stefo"
"Vovk, Mr. Janko"
"Lahoud, Mr. Sarkis"
"Kassem, Mr. Fared"
"Farrell, Mr. James"
"Salonen, Mr. Johan Werner"
"Toufik, Mr. Nakli"
"Elias, Mr. Joseph Jr"
"Cacic, Miss. Marija"
"Risien, Mr. Samuel Beard"
"Andersson, Miss. Ingeborg Constanzia"
"Andersson, Miss. Sigrid Elisabeth"
"Goldsmith, Mr. Frank John"
"O'Brien, Mr. Timothy"
"Morrow, Mr. Thomas Rowan"
"Sivic, Mr. Husein"
"Simmons, Mr. John"
"Meanwell, Miss. (Marion Ogden)"
"Davies, Mr. Alfred J"
"Stoytcheff, Mr. Ilia"
"Palsson, Mrs. Nils (Alma Cornelia Berglund)"
"Doharr, Mr. Tannous"
"Rush, Mr. Alfred George John"
"Patchett, Mr. George"
"Caram, Mrs. Joseph (Maria Elias)"
"Paulner, Mr. Uscher"
"Gilinski, Mr. Eliezer"
"Murdlin, Mr. Joseph"
"Rintamaki, Mr. Matti"
"Elsbury, Mr. William James"
"Bourke, Miss. Mary"
"Van Impe, Mr. Jean Baptiste"
"Johnson, Mr. Alfred"
"Boulos, Mr. Hanna"
"Slabenoff, Mr. Petco"
"Torber, Mr. Ernst William"
"Lindell, Mr. Edvard Bengtsson"
"Karaic, Mr. Milan"
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)"
"Jardin, Mr. Jose Neto"
"Horgan, Mr. John"
"Brocklebank, Mr. William Alfred"
"Danbom, Mr. Ernst Gilbert"
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)"
"Yasbeck, Mr. Antoni"
"Hansen, Mr. Henry Damsgaard"
"Bowen, Mr. David John ""Dai"""
"Bostandyeff, Mr. Guentcho"
"O'Connell, Mr. Patrick D"
"Lundahl, Mr. Johan Svensson"
"Skoog, Miss. Mabel"
"Leinonen, Mr. Antti Gustaf"
"Panula, Mrs. Juha (Maria Emilia Ojala)"
"Thorneycroft, Mr. Percival"
"Jensen, Mr. Hans Peder"
"Skoog, Miss. Margit Elizabeth"
"Cor, Mr. Liudevit"
"Willey, Mr. Edward"
"Mitkoff, Mr. Mito"
"Kalvik, Mr. Johannes Halvorsen"
"Hegarty, Miss. Hanora ""Nora"""
"Radeff, Mr. Alexander"
"Bourke, Mrs. John (Catherine)"
"Badt, Mr. Mohamed"
"Coleff, Mr. Peju"
"Rommetvedt, Mr. Knud Paust"
"Cook, Mr. Jacob"
"Edvardsson, Mr. Gustaf Hjalmar"
"Sawyer, Mr. Frederick Charles"
"Goodwin, Mrs. Frederick (Augusta Tyler)"
"Peters, Miss. Katie"
"Olsvigen, Mr. Thor Anderson"
"Goodwin, Mr. Charles Edward"
"Panula, Mr. Jaako Arnold"
"Dakic, Mr. Branko"
"Fischer, Mr. Eberhard Thelander"
"Saad, Mr. Khalil"
"Kelly, Mr. James"
"Humblen, Mr. Adolf Mathias Nicolai Olsen"
"Barbara, Miss. Saiide"
"Gallagher, Mr. Martin"
"Hansen, Mr. Henrik Juul"
"Larsson, Mr. August Viktor"
"Soholt, Mr. Peter Andreas Lauritz Andersen"
"McEvoy, Mr. Michael"
"Johnson, Mr. Malkolm Joackim"
"Jensen, Mr. Svend Lauritz"
"Oreskovic, Mr. Luka"
"Ilmakangas, Miss. Pieta Sofia"
"Hassan, Mr. Houssein G N"
"Williams, Mr. Leslie"
"Ford, Mrs. Edward (Margaret Ann Watson)"
"Ivanoff, Mr. Kanio"
"Nankoff, Mr. Minko"
"McNamee, Mr. Neal"
"Abbott, Mr. Rossmore Edward"
"Connaghton, Mr. Michael"
"Vande Velde, Mr. Johannes Joseph"
"Jonkoff, Mr. Lalio"
"Carlsson, Mr. August Sigfrid"
"Theobald, Mr. Thomas Leonard"
"Garfirth, Mr. John"
"Nirva, Mr. Iisakki Antino Aijo"
"Eklund, Mr. Hans Linus"
"Mangan, Miss. Mary"
"Moran, Mr. Daniel J"
"Gronnestad, Mr. Daniel Danielsen"
"Lievens, Mr. Rene Aime"
"Jensen, Mr. Niels Peder"
"Elias, Mr. Dibo"
"Myhrman, Mr. Pehr Fabian Oliver Malkolm"
"Tobin, Mr. Roger"
"Kilgannon, Mr. Thomas J"
"Johnston, Mr. Andrew G"
"Ali, Mr. William"
"Harmer, Mr. Abraham (David Lishin)"
"Rice, Master. George Hugh"
"Keane, Mr. Andrew ""Andy"""
"Sage, Miss. Stella Anna"
"Dantcheff, Mr. Ristiu"
"Ibrahim Shawah, Mr. Yousseff"
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)"
"Johansson, Mr. Karl Johan"
"Pettersson, Miss. Ellen Natalia"
"Alexander, Mr. William"
"Lester, Mr. James"
"Andersson, Miss. Ebba Iris Alfrida"
"Tomlin, Mr. Ernest Portage"
"Heininen, Miss. Wendla Maria"
"Holm, Mr. John Fredrik Alexander"
"Skoog, Master. Karl Thorsten"
"Panula, Master. Urho Abraham"
"Flynn, Mr. John"
"Lam, Mr. Len"
"Saad, Mr. Amin"
"Augustsson, Mr. Albert"
"Allum, Mr. Owen George"
"Pasic, Mr. Jakob"
"Sirota, Mr. Maurice"
"Alhomaki, Mr. Ilmari Rudolf"
"Lemberopolous, Mr. Peter L"
"Culumovic, Mr. Jeso"
"Abbing, Mr. Anthony"
"Sage, Mr. Douglas Bullen"
"Markoff, Mr. Marin"
"Andersson, Master. Sigvard Harald Elias"
"Svensson, Mr. Johan"
"Boulos, Miss. Nourelain"
"Razi, Mr. Raihed"
"Hansen, Mr. Claus Peter"
"Sage, Miss. Dorothy Edith ""Dolly"""
"van Melkebeke, Mr. Philemon"
"Balkic, Mr. Cerin"
"Vander Cruyssen, Mr. Victor"
"Gustafsson, Mr. Alfred Ossian"
"Petroff, Mr. Nedelio"
"Laleff, Mr. Kristo"
"Markun, Mr. Johann"
"Dahlberg, Miss. Gerda Ulrika"
"Sutehall, Mr. Henry Jr"
"Rice, Mrs. William (Margaret Norton)"
"Johnston, Miss. Catherine Helen ""Carrie"""
"Dooley, Mr. Patrick"
