NAME,AGE
"Hirvonen, Miss. Hildur E",2.00
"Turkula, Mrs. (Hedwig)",63.00
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35.00
"Coutts, Master. Eden Leslie ""Neville""",9.00
"Maioni, Miss. Roberta",16.00
"Quick, Mrs. Frederick Charles (Jane Richards)",33.00
"Bradley, Mr. George (""George Arthur Brayton"")",
"Lang, Mr. Fang",26.00
"McGough, Mr. James Robert",36.00
"Lemore, Mrs. (Amelia Milley)",34.00
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36.00
"Perreault, Miss. Anne",30.00
"Ridsdale, Miss. Lucy",50.00
"Quick, Miss. Phyllis May",2.00
"Hart, Miss. Eva Miriam",7.00
"Crosby, Miss. Harriet R",36.00
"Beane, Mr. Edward",32.00
"Beane, Mrs. Edward (Ethel Clarke)",19.00
"Davies, Master. John Morgan Jr",8.00
"Ohman, Miss. Velin",22.00
"Taussig, Mrs. Emil (Tillie Mandelbaum)",39.00
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",36.00
"Jonsson, Mr. Carl",32.00
"Harris, Mr. George",62.00
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53.00
"Flynn, Mr. John Irwin (""Irving"")",36.00
"Garside, Miss. Ethel",34.00
"Silvey, Mrs. William Baird (Alice Munger)",39.00
"Jussila, Mr. Eiriik",32.00
"Christy, Miss. Julie Rachel",25.00
"Taussig, Miss. Ruth",18.00
"Leitch, Miss. Jessie Wills",
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",24.00
"Daniel, Mr. Robert Williams",27.00
"Shutes, Miss. Elizabeth W",40.00
"Herman, Miss. Alice",24.00
"Becker, Miss. Marion Louise",4.00
"Kimball, Mr. Edwin Nelson Jr",42.00
"Longley, Miss. Gretchen Fiske",21.00
"Barkworth, Mr. Algernon Henry Wilson",80.00
"Davis, Miss. Mary",28.00
"Foo, Mr. Choong",
"Stanley, Miss. Amy Zillah Elsie",23.00
"Doling, Miss. Elsie",18.00
"Frauenthal, Dr. Henry William",50.00
"Lindqvist, Mr. Eino William",20.00
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40.00
"Wilhelms, Mr. Charles",31.00
"Turja, Miss. Anna Sofia",18.00
"Madill, Miss. Georgette Alexandra",15.00
"Dick, Mr. Albert Adrian",31.00
"Lam, Mr. Ali",
"Silverthorne, Mr. Spencer Victor",35.00
"Kelly, Mrs. Florence ""Fannie""",45.00
"Calderhead, Mr. Edward Pennington",42.00
"Cleaver, Miss. Alice",22.00
"Taylor, Mr. Elmer Zebley",48.00
"Troutt, Miss. Edwina Celia ""Winnie""",27.00
"Harper, Miss. Annie Jessie ""Nina""",6.00
"Chambers, Mr. Norman Campbell",27.00
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",30.00
"Allen, Miss. Elisabeth Walton",29.00
"Hawksford, Mr. Walter James",
"Stranden, Mr. Juho",31.00
"Sinkkonen, Miss. Anna",30.00
"Wells, Miss. Joan",4.00
"Moor, Master. Meier",6.00
"Herman, Mrs. Samuel (Jane Laver)",48.00
"Hamalainen, Master. Viljo",0.67
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",33.00
"Carter, Mrs. William Ernest (Lucile Polk)",36.00
"Hogeboom, Mrs. John C (Anna Andrews)",51.00
"Hocking, Mrs. Elizabeth (Eliza Needs)",54.00
"Emanuel, Miss. Virginia Ethel",5.00
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43.00
"Dick, Mrs. Albert Adrian (Vera Gillespie)",17.00
"Sjoblom, Miss. Anna Sofia",18.00
"Dean, Master. Bertram Vere",1.00
"Leader, Dr. Alice (Farnham)",49.00
"Osman, Mrs. Mara",31.00
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31.00
"Carter, Master. William Thornton II",11.00
"Hedman, Mr. Oskar Arvid",27.00
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33.00
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52.00
"Lulic, Mr. Nikola",27.00
"Moor, Mrs. (Beila)",27.00
"Richards, Master. George Sibley",0.83
"Chip, Mr. Chang",32.00
"Lines, Miss. Mary Conover",16.00
"Aks, Mrs. Sam (Leah Rosen)",18.00
"Wick, Mrs. George Dennick (Mary Hitchcock)",45.00
"Daly, Mr. Peter Denis ",51.00
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",48.00
"Bystrom, Mrs. (Karolina)",42.00
"Johnson, Master. Harold Theodor",4.00
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47.00
"Shelley, Mrs. William (Imanita Parrish Hall)",25.00
"Graham, Miss. Margaret Edith",19.00
