NAME
"Green, Mr. George Henry"
"Nenkoff, Mr. Christo"
"Hoyt, Mr. Frederick Maxfield"
"Berglund, Mr. Karl Ivar Sven"
"Mellors, Mr. William John"
"Lovell, Mr. John Hall (""Henry"")"
"Fahlstrom, Mr. Arne Jonas"
"Larsson, Mr. Bengt Edvin"
"Sjostedt, Mr. Ernst Adolf"
"Leyson, Mr. Robert William Norman"
"Hold, Mr. Stephen"
"Pengelly, Mr. Frederick William"
"Hunt, Mr. George Henry"
"Coleridge, Mr. Reginald Charles"
"Maenpaa, Mr. Matti Alexanteri"
"Attalah, Mr. Sleiman"
"Beckwith, Mr. Richard Leonard"
"Reed, Mr. James George"
"Stead, Mr. William Thomas"
"Lobb, Mr. William Arthur"
"Smith, Mr. Thomas"
"Taussig, Mr. Emil"
"Harrison, Mr. William"
"Reeves, Mr. David"
"Panula, Mr. Ernesti Arvid"
"Persson, Mr. Ernst Ulrik"
"Cairns, Mr. Alexander"
"Tornquist, Mr. William Henry"
"Natsch, Mr. Charles H"
"Parkes, Mr. Francis ""Frank"""
"Duane, Mr. Frank"
"Olsson, Mr. Nils Johan Goransson"
"de Pelsmaeker, Mr. Alfons"
"Dorking, Mr. Edward Arthur"
"Smith, Mr. Richard William"
"Stankovic, Mr. Ivan"
"de Mulder, Mr. Theodore"
"Naidenoff, Mr. Penko"
"Hosono, Mr. Masabumi"
"Levy, Mr. Rene Jacques"
"Mineff, Mr. Ivan"
"Lewy, Mr. Ervin G"
"Hanna, Mr. Mansour"
"Saalfeld, Mr. Adolphe"
"McCoy, Mr. Bernard"
"Johnson, Mr. William Cahoone Jr"
"Williams, Mr. Howard Hugh ""Harry"""
"Abelson, Mr. Samuel"
"Hendekovic, Mr. Ignjac"
"Hart, Mr. Benjamin"
"Dennis, Mr. Samuel"
"Danoff, Mr. Yoto"
"Sage, Mr. George John Jr"
"Nysveen, Mr. Johan Hansen"
"Partner, Mr. Austen"
"Graham, Mr. George Edward"
"Vander Planke, Mr. Leo Edmondus"
"Denkoff, Mr. Mitto"
"Pears, Mr. Thomas Clinton"
"Dahl, Mr. Karl Edwart"
"Blackwell, Mr. Stephen Weart"
"Collander, Mr. Erik Gustaf"
"Sedgwick, Mr. Charles Frederick Waddington"
"Fox, Mr. Stanley Hubert"
"Dimic, Mr. Jovan"
"Odahl, Mr. Nils Martin"
"Williams-Lambert, Mr. Fletcher Fellows"
"Elias, Mr. Tannous"
"Arnold-Franchi, Mr. Josef"
"Yousif, Mr. Wazli"
"Vanden Steen, Mr. Leo Peter"
"Skoog, Mr. Wilhelm"
"del Carlo, Mr. Sebastiano"
"Asim, Mr. Adola"
"O'Brien, Mr. Thomas"
"Adahl, Mr. Mauritz Nils Martin"
"Harder, Mr. George Achilles"
"Wiklund, Mr. Jakob Alfred"
"Beavan, Mr. William Thomas"
"Ringhini, Mr. Sante"
"Widener, Mr. Harry Elkins"
"Betros, Mr. Tannous"
"Gustafsson, Mr. Karl Gideon"
"Tikkanen, Mr. Juho"
"Plotcharsky, Mr. Vasil"
"Davies, Mr. Charles Henry"
"Sadlier, Mr. Matthew"
"Carter, Mr. William Ernest"
"Jansson, Mr. Carl Olof"
"Gustafsson, Mr. Johan Birger"
"Johansson, Mr. Erik"
"McKane, Mr. Peter David"
"Niskanen, Mr. Juha"
"Adams, Mr. John"
"Hakkarainen, Mr. Pekka Pietari"
"Gale, Mr. Shadrach"
"Widegren, Mr. Carl/Charles Peter"
"Birkeland, Mr. Hans Martin Monsen"
"Sdycoff, Mr. Todor"
"Hart, Mr. Henry"
"Cunningham, Mr. Alfred Fleming"
"Sundman, Mr. Johan Julian"
"Matthews, Mr. William John"
"Gheorgheff, Mr. Stanio"
"Charters, Mr. David"
"Zimmerman, Mr. Leo"
"Rosblom, Mr. Viktor Richard"
"Wiseman, Mr. Phillippe"
"Flynn, Mr. James"
"Pickard, Mr. Berk (Berk Trembisky)"
"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
"Kallio, Mr. Nikolai Erland"
"Silvey, Mr. William Baird"
"Fortune, Mr. Mark"
"Kvillner, Mr. Johan Henrik Johannesson"
"Hampe, Mr. Leon"
"Petterson, Mr. Johan Emil"
"Johannesen-Bratthammer, Mr. Bernt"
"Seward, Mr. Frederic Kimber"
"West, Mr. Edwy Arthur"
"Hagland, Mr. Ingvald Olai Olsen"
"Foreman, Mr. Benjamin Laventall"
"Goldenberg, Mr. Samuel L"
"Peduzzi, Mr. Joseph"
"Jalsevac, Mr. Ivan"
"Millet, Mr. Francis Davis"
"O'Connor, Mr. Maurice"
"Anderson, Mr. Harry"
"Morley, Mr. William"
"Gee, Mr. Arthur H"
"Milling, Mr. Jacob Christian"
"Maisner, Mr. Simon"
"Goncalves, Mr. Manuel Estanslas"
"Campbell, Mr. William"
"Smart, Mr. John Montgomery"
"Scanlan, Mr. James"
"Keefe, Mr. Arthur"
"Cacic, Mr. Luka"
"Clifford, Mr. George Quincy"
"Renouf, Mr. Peter Henry"
"Braund, Mr. Lewis Richard"
"Karlsson, Mr. Nils August"
"Frost, Mr. Anthony Wood ""Archie"""
"Rouse, Mr. Richard Henry"
"Bishop, Mr. Dickinson H"
"Kent, Mr. Edward Austin"
"Somerton, Mr. Francis William"
"Hagland, Mr. Konrad Mathias Reiersen"
"Windelov, Mr. Einar"
"Molson, Mr. Harry Markland"
"Artagaveytia, Mr. Ramon"
"Stanley, Mr. Edward Roland"
"Yousseff, Mr. Gerious"
"Shellard, Mr. Frederick William"
"Svensson, Mr. Olof"
"Calic, Mr. Petar"
"Penasco y Castellana, Mr. Victor de Satode"
"Bradley, Mr. George (""George Arthur Brayton"")"
"Olsen, Mr. Henry Margido"
"Lang, Mr. Fang"
"Daly, Mr. Eugene Patrick"
"Webber, Mr. James"
"McGough, Mr. James Robert"
"Coleff, Mr. Satio"
"Walker, Mr. William Anderson"
"Ryan, Mr. Patrick"
"Pavlovic, Mr. Stefo"
"Vovk, Mr. Janko"
"Lahoud, Mr. Sarkis"
"Kassem, Mr. Fared"
"Farrell, Mr. James"
"Farthing, Mr. John"
"Salonen, Mr. Johan Werner"
"Hocking, Mr. Richard George"
"Toufik, Mr. Nakli"
"Elias, Mr. Joseph Jr"
"Risien, Mr. Samuel Beard"
"Beane, Mr. Edward"
"Douglas, Mr. Walter Donald"
"Nicholson, Mr. Arthur Ernest"
"Padro y Manent, Mr. Julian"
"Goldsmith, Mr. Frank John"
"Thayer, Mr. John Borland Jr"
"Sharp, Mr. Percival James R"
"O'Brien, Mr. Timothy"
"Leeni, Mr. Fahim (""Philip Zenni"")"
"Wright, Mr. George"
"Robbins, Mr. Victor"
"Morrow, Mr. Thomas Rowan"
"Sivic, Mr. Husein"
"Norman, Mr. Robert Douglas"
"Simmons, Mr. John"
"Davies, Mr. Alfred J"
"Stoytcheff, Mr. Ilia"
"Doharr, Mr. Tannous"
"Jonsson, Mr. Carl"
"Harris, Mr. George"
"Flynn, Mr. John Irwin (""Irving"")"
"Rush, Mr. Alfred George John"
"Patchett, Mr. George"
"Jussila, Mr. Eiriik"
"Downton, Mr. William James"
"Ross, Mr. John Hugo"
"Paulner, Mr. Uscher"
"Jarvis, Mr. John Denzil"
"Frolicher-Stehli, Mr. Maxmillian"
"Gilinski, Mr. Eliezer"
"Murdlin, Mr. Joseph"
"Rintamaki, Mr. Matti"
"Elsbury, Mr. William James"
"Chapman, Mr. John Henry"
"Van Impe, Mr. Jean Baptiste"
"Johnson, Mr. Alfred"
"Boulos, Mr. Hanna"
"Slabenoff, Mr. Petco"
"Harrington, Mr. Charles H"
"Torber, Mr. Ernst William"
"Homer, Mr. Harry (""Mr E Haven"")"
"Lindell, Mr. Edvard Bengtsson"
"Karaic, Mr. Milan"
"Daniel, Mr. Robert Williams"
"Jardin, Mr. Jose Neto"
"Horgan, Mr. John"
"Brocklebank, Mr. William Alfred"
"Danbom, Mr. Ernst Gilbert"
"Gavey, Mr. Lawrence"
"Yasbeck, Mr. Antoni"
"Kimball, Mr. Edwin Nelson Jr"
"Nakid, Mr. Sahid"
"Hansen, Mr. Henry Damsgaard"
"Bowen, Mr. David John ""Dai"""
"Sutton, Mr. Frederick"
"Bostandyeff, Mr. Guentcho"
"O'Connell, Mr. Patrick D"
"Barkworth, Mr. Algernon Henry Wilson"
"Lundahl, Mr. Johan Svensson"
"Parr, Mr. William Henry Marsh"
"Leinonen, Mr. Antti Gustaf"
"Collyer, Mr. Harvey"
"Thorneycroft, Mr. Percival"
"Jensen, Mr. Hans Peder"
"Foo, Mr. Choong"
"Harper, Mr. Henry Sleeper"
"Cor, Mr. Liudevit"
"Willey, Mr. Edward"
"Mitkoff, Mr. Mito"
"Kalvik, Mr. Johannes Halvorsen"
"Hickman, Mr. Leonard Mark"
"Radeff, Mr. Alexander"
"Eitemiller, Mr. George Floyd"
"Newell, Mr. Arthur Webster"
"Badt, Mr. Mohamed"
"Colley, Mr. Edward Pomeroy"
"Coleff, Mr. Peju"
"Lindqvist, Mr. Eino William"
"Hickman, Mr. Lewis"
"Butler, Mr. Reginald Fenton"
"Rommetvedt, Mr. Knud Paust"
"Cook, Mr. Jacob"
"Davidson, Mr. Thornton"
"Mitchell, Mr. Henry Michael"
"Wilhelms, Mr. Charles"
"Watson, Mr. Ennis Hastings"
"Edvardsson, Mr. Gustaf Hjalmar"
"Sawyer, Mr. Frederick Charles"
"Cardeza, Mr. Thomas Drake Martinez"
"Hassab, Mr. Hammad"
"Olsvigen, Mr. Thor Anderson"
"Goodwin, Mr. Charles Edward"
"Brown, Mr. Thomas William Solomon"
"Laroche, Mr. Joseph Philippe Lemercier"
"Panula, Mr. Jaako Arnold"
"Dakic, Mr. Branko"
"Fischer, Mr. Eberhard Thelander"
"Dick, Mr. Albert Adrian"
"Lam, Mr. Ali"
"Saad, Mr. Khalil"
"Chapman, Mr. Charles Henry"
"Kelly, Mr. James"
"Thayer, Mr. John Borland"
"Humblen, Mr. Adolf Mathias Nicolai Olsen"
"Silverthorne, Mr. Spencer Victor"
"Gallagher, Mr. Martin"
"Hansen, Mr. Henrik Juul"
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")"
"Calderhead, Mr. Edward Pennington"
"Klaber, Mr. Herman"
"Taylor, Mr. Elmer Zebley"
"Larsson, Mr. August Viktor"
"Greenberg, Mr. Samuel"
"Soholt, Mr. Peter Andreas Lauritz Andersen"
"McEvoy, Mr. Michael"
"Johnson, Mr. Malkolm Joackim"
"Jensen, Mr. Svend Lauritz"
"Gillespie, Mr. William Henry"
"Hodges, Mr. Henry Price"
"Chambers, Mr. Norman Campbell"
"Oreskovic, Mr. Luka"
"Bryhl, Mr. Kurt Arnold Gottfrid"
"Hassan, Mr. Houssein G N"
"Knight, Mr. Robert J"
"Berriman, Mr. William John"
"Troupiansky, Mr. Moses Aaron"
"Williams, Mr. Leslie"
"Lesurer, Mr. Gustave J"
"Ivanoff, Mr. Kanio"
"Nankoff, Mr. Minko"
"Hawksford, Mr. Walter James"
"Cavendish, Mr. Tyrell William"
"McNamee, Mr. Neal"
"Stranden, Mr. Juho"
"Abbott, Mr. Rossmore Edward"
"Marvin, Mr. Daniel Warner"
"Connaghton, Mr. Michael"
"Vande Velde, Mr. Johannes Joseph"
"Jonkoff, Mr. Lalio"
"Carlsson, Mr. August Sigfrid"
"Bailey, Mr. Percy Andrew"
"Theobald, Mr. Thomas Leonard"
"Garfirth, Mr. John"
"Nirva, Mr. Iisakki Antino Aijo"
"Barah, Mr. Hanna Assi"
"Eklund, Mr. Hans Linus"
"Moran, Mr. Daniel J"
"Gronnestad, Mr. Daniel Danielsen"
"Lievens, Mr. Rene Aime"
"Jensen, Mr. Niels Peder"
"Elias, Mr. Dibo"
"Myhrman, Mr. Pehr Fabian Oliver Malkolm"
"Tobin, Mr. Roger"
"Kilgannon, Mr. Thomas J"
"Long, Mr. Milton Clyde"
"Johnston, Mr. Andrew G"
"Ali, Mr. William"
"Harmer, Mr. Abraham (David Lishin)"
"Guggenheim, Mr. Benjamin"
"Keane, Mr. Andrew ""Andy"""
"Gaskell, Mr. Alfred"
"Hoyt, Mr. William Fisher"
"Dantcheff, Mr. Ristiu"
"Otter, Mr. Richard"
"Ibrahim Shawah, Mr. Yousseff"
"Ponesell, Mr. Martin"
"Hedman, Mr. Oskar Arvid"
"Johansson, Mr. Karl Johan"
"Andrews, Mr. Thomas Jr"
"Meyer, Mr. August"
"Alexander, Mr. William"
"Lester, Mr. James"
"Slemen, Mr. Richard James"
"Tomlin, Mr. Ernest Portage"
"Fry, Mr. Richard"
"Mallet, Mr. Albert"
"Holm, Mr. John Fredrik Alexander"
"Lulic, Mr. Nikola"
"Flynn, Mr. John"
"Lam, Mr. Len"
"McCormack, Mr. Thomas Joseph"
"Saad, Mr. Amin"
"Augustsson, Mr. Albert"
"Allum, Mr. Owen George"
"Pasic, Mr. Jakob"
"Sirota, Mr. Maurice"
"Chip, Mr. Chang"
"Marechal, Mr. Pierre"
"Alhomaki, Mr. Ilmari Rudolf"
"Mudd, Mr. Thomas Charles"
"Lemberopolous, Mr. Peter L"
"Culumovic, Mr. Jeso"
"Abbing, Mr. Anthony"
"Sage, Mr. Douglas Bullen"
"Markoff, Mr. Marin"
"Svensson, Mr. Johan"
"Daly, Mr. Peter Denis "
"Razi, Mr. Raihed"
"Hansen, Mr. Claus Peter"
"Giles, Mr. Frederick Edward"
"Gill, Mr. John William"
"Roebling, Mr. Washington Augustus II"
"van Melkebeke, Mr. Philemon"
"Balkic, Mr. Cerin"
"Carlsson, Mr. Frans Olof"
"Vander Cruyssen, Mr. Victor"
"Gustafsson, Mr. Alfred Ossian"
"Petroff, Mr. Nedelio"
"Laleff, Mr. Kristo"
"Markun, Mr. Johann"
"Banfield, Mr. Frederick James"
"Sutehall, Mr. Henry Jr"
"Behr, Mr. Karl Howell"
"Dooley, Mr. Patrick"
